full_text,normalized,label,label_manual
@GheaJhanaLie7 Yg ini ya..? Pembohongan Publik Barbuk pinjaman Koleksi Orang dikasus KM50..? https://t.co/YvvuQNhhit,yang ini ya pembohongan publik barbuk pinjaman koleksi orang dikasus km,positif,positif
Yg jelas rupiah anjlok tajam berpotensi menimbulkan ketakpastian artinya tak ada dampak positifnya dari pertumbuhan. Ini malah akan berisiko buruk dlm waktu dekat. Beban utang meroket biaya impor membengkak akibat inflasi akan menggerus daya beli kelas menengah ke bawah..,yang jelas rupiah anjlok tajam berpotensi menimbulkan ketakpastian artinya tak ada dampak positifnya dari pertumbuhan ini malah akan berisiko buruk dlm waktu dekat beban utang meroket biaya impor membengkak akibat inflasi akan menggerus daya beli kelas menengah ke bawah,negatif,negatif
@Hidupsebagai62 Lah ojk aja sibuk soft selling pinjol ,lah otoritas jasa keuangan saja sibuk soft selling pinjaman online,positif,positif
malaamm kamu banyak cicilan spaylatter spinjam kredivo tapi belum jatuh tempo sini aku bantu joki pinjol dari pada galob tulob terus jangan nunggu tagihannya telat nanti malah di tolak fee aku di akhirr #jokipinjol #gestun #pinjol #gestun #pinpri https://t.co/eXOIvUse3J,malaamm kamu banyak cicilan spaylatter spinjam kredivo tapi belum jatuh tempo sini saya bantu joki pinjaman online dari pada galob tulob terus jangan nunggu tagihannya telat nanti malah di tolak fee saya di akhirr,negatif,positif
@AnakLolina2 Seperti yang bang august posting sehari2 ekonomi kita kurang baik. Sehingga banyak yang pakai pinjol. Alhamdulillah bang august sptnya tidak pakai pinjol/paylater. Pertahankan bang,seperti yang bang august posting sehari ekonomi kita kurang baik sehingga banyak yang pakai pinjaman online alhamdulillah bang august sptnya tidak pakai pinjolpaylater pertahankan bang,positif,positif
gue gak bilang bahwa nilai dollar naik itu tdk penting tp gak perlu buat narasi krisis 98 jilid 2. jgn menilai krisis ekonomi dr kurs dan utang negara doan.g GDP PMI Retail Sales gak diukur?,saya tidak mengatakan bahwa nilai dollar naik itu tdk penting tapi tidak perlu untuk narasi krisis jilid jgn menilai krisis ekonomi dari kurs dan utang negara saja gdp pmi retail sales tidak diukur,negatif,negatif
@rudysirwi Masih cari pinjaman kk. Buat bayar arisan nya https://t.co/pdFYdqm44H,masih cari pinjaman kk untuk bayar arisan nya,positif,positif
gw gamau mama gw buta masih banyak bgtbgtbgt hal indah di dunia ini yg musti dia lihat dia harus bisa umroh gw harus bisa liat dia umroh atau as simple as masak dengan hepi di rumah. jadi kayanya gw bakal ambil pinjol aja dan ngajuin operasi mama gw.,saya gamau mama saya buta masih banyak bgtbgtbgt hal indah di dunia ini yang musti dia lihat dia harus dapat umroh saya harus dapat melihat dia umroh atau as simple as masak dengan hepi di rumah jadi kayanya saya bakal ambil pinjaman online saja dan ngajuin operasi mama saya,positif,positif
punya banyak utang gini mumet bgt dah mna ada pinjol jgaaa definisi bikin hidup ribet sendiri tolong pencerahannya plss dah ngga ada masukan masalahnya,punya banyak utang gini mumet banget dah mna ada pinjaman online jgaaa definisi bikin hidup ribet sendiri tolong pencerahannya plss dah ngga ada masukan masalahnya,negatif,negatif
@tanyakanrl kalau beneran tumbuh sih angka debitur pinjol gak naik nyatanya angka debitur YoY naik 26% dan angka kredit macet juga mengalami kenaikan,kalau benar benar tumbuh angka debitur pinjaman online tidak naik nyatanya angka debitur yoy naik dan angka kredit macet juga mengalami kenaikan,positif,positif
@xpeacessea bcs i have utang wkwkwk,bcs i have utang tertawa,negatif,negatif
@vosa0503 mau disentuh tagihan pinjol? biar langsung bangun mentalnya,ingin disentuh tagihan pinjaman online biar langsung bangun mentalnya,negatif,positif
@bismillahyuk_ plis kak aku udah lunas pinjaman di KP tapi gabisa tutup akun katanya pembayaran tagihan anda belum 5 tahun ada yg tau cara tutup akunnya ga ya? ,plis kak saya sudah lunas pinjaman di kp tapi gabisa tutup akun katanya pembayaran tagihan anda belum tahun ada yang tau cara tutup akunnya tidak ya,negatif,positif
damn banyak banget utang upchar,damn banyak sangat utang upchar,negatif,negatif
Mohon pihak bertanggungjawab menyiasat perkara berkenaan &amp; melakukan kempen banteras pinjaman Along di setiap lapisan masyarakat majmuk dalam negara. ,mohon pihak bertanggungjawab menyiasat perkara berkenaan amp melakukan kempen banteras pinjaman along di setiap lapisan masyarakat majmuk dalam negara,positif,positif
Coach Leo utang na loob yung solid na first five please. This is a must-win game!,coach leo utang na loob yung solid na first five please this is a mustwin game,negatif,negatif
#2 DEFISIT ANGGARAN terjadi ketika total belanja negara melampaui total pendapatan. DEFISIT KESEIMBANGAN PRIMER terjadi ketika pendapatan negara lebih kecil dari belanja negara di luar pembayaran bunga utang. Kondisi ini bermakna: untuk membayar utang yang sudah ada pemerintah,defisit anggaran terjadi ketika total belanja negara melampaui total pendapatan defisit keseimbangan primer terjadi ketika pendapatan negara lebih kecil dari belanja negara di luar pembayaran bunga pinjaman utang kondisi ini bermakna untuk membayar utang yang sudah ada pemerintah,negatif,negatif
@Ruq4yy4 Knp kan utang aja,kenapa kan utang saja,negatif,negatif
Komdigi drpd ngurusin video yg onoh mending ngurusin judol pinjol ini yg jelas merugikan BANYAK orang,komdigi drpd ngurusin video yang onoh mending ngurusin judi online pinjaman online ini yang jelas merugikan banyak orang,negatif,positif
@plumparis punya utang kayanya,punya utang kayanya,negatif,negatif
OJK umumkan pinjol dan pegadaian tumbuh puluhan persen pada April 2026. Saat yang sama bisnis asuransi dan leasing hanya tumbuh di bawah 2% pada periode ini. Sedangkan bisnis bank tumbuh di atas 9%-an. Dalam periode yang sama BPS mengumumkan ekonomi tumbuh di atas konsensus,otoritas jasa keuangan umumkan pinjaman online dan pegadaian tumbuh puluhan persen pada april saat yang sama bisnis asuransi dan leasing hanya tumbuh di bawah pada periode ini sedangkan bisnis bank tumbuh di atas an dalam periode yang sama bps mengumumkan ekonomi tumbuh di atas konsensus,positif,positif
@nosan1tysane @HauntedCokelat @ninokinono Ahhh biasa inimah belum tau ajah seberapa keras teror DC pinjol daripada mereka,ahhh biasa inimah belum tau ajah seberapa keras teror debt collector pinjaman online daripada mereka,negatif,negatif
Ngeri asli dah kalo harus punya kreditan gede di tahun2 ini. Ngeri galbay kek jaman covid. ,ngeri asli dah kalau harus punya kreditan gede di tahun ini ngeri gagal bayar kek jaman covid,negatif,positif
@Jelli_cent Baru Maret udah narik utang 258T 31% dari target: kalau ngatur APBN kayak cicilan paylater yang gali lubang tutup lubang itu bukan pemerintah tapi rakyat yang nanggung bunganya. Asuuu,baru maret sudah narik utang t dari target kalau ngatur apbn kayak cicilan bayar nanti yang gali lubang tutup lubang itu bukan pemerintah tapi rakyat yang nanggung bunganya asuuu,negatif,negatif
Cover Jabotabek Pinjaman kta dari bank CIMB niaga bunga 0.99% dana pinjaman max 200 juta Syarat KTP cc NPWP rek bank Minat? Hub pak Yan 082213452343 Tabel terlampir https://t.co/T1jHsyfHfA,cover jabotabek pinjaman kta dari bank cimb niaga bunga pinjaman dana pinjaman max juta syarat ktp cc npwp rek bank minat hub pak yan tabel terlampir,positif,positif
@lisegaluv @ShopeeID @i_m_mortal_ @DivHumas_Polri pinjol galbay ga?,pinjaman online gagal bayar tidak,negatif,positif
@TheEconopost Apakah berarti ekonomi tinggi ditopang pinjol ? Pdhal pinjol bunga cukup tinggi. Apakah perbankan gak tertarik untuk suntik pendanaan pinjol juga ? Jika leasing lesu pinjol lebih seksi nih..,apakah berarti ekonomi tinggi ditopang pinjaman online pdhal pinjaman online bunga pinjaman cukup tinggi apakah perbankan tidak tertarik untuk suntik pendanaan pinjaman online juga jika leasing lesu pinjaman online lebih seksi ini,positif,positif
@DuniaRandoz4 Infonya begitu yang ramai diperbincangkan oum. Ya terlepas alibi atau apapun yang terjadi harapan besar ada jalan tengah yang bisa diambil dari kedua belah pihak. Jangan sampe hidup tergantung sama pinjol aja.,infonya begitu yang ramai diperbincangkan oum ya terlepas alibi atau apapun yang terjadi harapan besar ada jalan tengah yang dapat diambil dari kedua belah pihak jangan sampe hidup tergantung sama pinjaman online saja,positif,positif
@KapudS640 DC Mata Emprit Pinjol PRERMAN ORMAS pastinya ada kakak pembina kakak pelindung...ada setoran lah pastinya... Jadi mereka sakti²...,debt collector mata emprit pinjaman online prerman ormas pastinya ada kakak pembina kakak pelindungada setoran lah pastinya jadi mereka sakti,negatif,positif
@kapten__monyet Uang 200juta mau lunasin utang sama baikin rumah mama aamiin ya Allah,uang juta ingin lunasin utang sama baikin rumah mama aamiin ya allah,negatif,negatif
@Cielodulcee Semenjak ada pinjol judol lebih baik copas NIK. Paling aman.,semenjak ada pinjaman online judi online lebih baik copas nik paling aman,positif,positif
Info pinjaman bulan depan diganti ,informasi pinjaman bulan depan diganti,positif,positif
@Makaryo0 Jujur ini perlu banget karna KTP kita mudah banget diakses orang lain dan banyaknya scam2.. Hal yg paling ku takutin jujur cuma ini takut tbtb ditagih pinjol ratusan JT padahal bukan kita yg pinjam ,jujur ini perlu sangat karna ktp kita mudah sangat diakses orang lain dan banyaknya scam hal yang paling ku takutin jujur cuma ini takut tbtb ditagih pinjaman online ratusan jt padahal bukan kita yang pinjam,negatif,negatif
@tanyakanrl Gw ga paham.. kenapa A ngejar2.. kalo BPKB nya yg buat jaminan ya A lah yg harus bayar kreditnya kenapa jadi km? Maaf ortu mu kemana? Harusnya km yg ngejar uang itu kemana gimana ceritanya pinjaman Atas namamu tapi km ga tau,saya tidak paham kenapa a mengejar kalau bpkb nya yang untuk jaminan ya a lah yang harus bayar kreditnya kenapa jadi km maaf ortu mu kemana harusnya km yang mengejar uang itu kemana bagaimana ceritanya pinjaman atas namamu tapi km tidak tau,positif,positif
Total pinjaman dan pembiayaan BRI mengalami kenaikan sebesar 13 7% dibandingkan tahun lalu (YoY) menjadi Rp1.562 triliun. #KURBR #BRIUntukUMKM #SatuBankUntukSemua https://t.co/XLbExX5MFb,total pinjaman dan pembiayaan bri mengalami kenaikan sebesar dibandingkan tahun lalu yoy menjadi rp triliun,positif,positif
PENSTRUKTURAN SEMULA PINJAMAN PMKS: LANGKAH RINGANKAN TEKANAN KOS GLOBAL 'Yang sahih di RTM' #RTM #BeritaRTM #MalaysiaMadani #TaatSetia #BersamaMALAYSIAKU #RancakkanMADANI #MADANIBekerja https://t.co/C5KtPcGucu,penstrukturan semula pinjaman pmks langkah ringankan tekanan kos global yang sahih di rtm,positif,positif
@markmatchaey jujur kaya dikejar pinjol gdebak debuk banget sm,jujur kaya dikejar pinjaman online gdebak debuk sangat sama,negatif,positif
sumpah sih ini kek aku dulu. diterror orang pinjol. gegara nomer ku ada yang masukin di kontak cadangannya. dan aku ga kenal sama sekali sama yg pinjol. dan kata dc nya dia orang jateng. kek anjritlah silit memang,sumpah ini kek saya dulu diterror orang pinjaman online gegara nomer ku ada yang masukin di kontak cadangannya dan saya tidak kenal sama sekali sama yang pinjaman online dan kata debt collector nya dia orang jateng kek anjritlah silit memang,negatif,positif
Orang kalo udh judol pinjol emang ngefraud kemana-mana Gw diemin selama kerjaan bener Ternyata makin menjadi Makin gw tanya orang2 lain makin ketauan boongnya makin banyak yg akhirnya cerita,orang kalau sudah judi online pinjaman online memang ngefraud kemanamana saya diemin selama kerjaan benar ternyata makin menjadi makin saya tanya orang lain makin ketauan boongnya makin banyak yang akhirnya cerita,positif,positif
@Gendoet3G Iya....itu sekitar 10Thn yg lalu sebelum ada pinjol.,iyaitu sekitar thn yang lalu sebelum ada pinjaman online,positif,positif
@HauraAleta @KapudS640 Klo sekedar prkara bhong pengeluaran itu mah sepele mbak lakik ga akan kyak gtu itu bener.. Tp Klo udah d kasih royal tp duit ga tau kmna d tanya bingung tiba2 pinjol numpuk di tanyain buat apa aa ee aa ee.. msih nyalahin suami klo sampe gt?,kalau sekedar prkara bhong pengeluaran itu sepele mbak lakik tidak akan kyak gtu itu benar tapi kalau sudah d memberi royal tapi duit tidak tau kmna d tanya bingung tiba pinjaman online numpuk di tanyain untuk apa aa ee aa ee msih nyalahin suami kalau sampe gt,positif,positif
@Simemaki pembisiknya parah kan JK jadi keliatan kehilangan vibes ke negarawan. 1. ketipu AI 2. marah karna video di Potong 3. marah dilaporkan 19 ormas kristiani. 4. marah karna adeknya jadi tersangka korupsi. 5. marah karna utang ya diungkit. @KerjaHasil_id ada tambahan?,pembisiknya parah kan jk jadi keliatan kehilangan vibes ke negarawan tertipu ai marah karna video di potong marah dilaporkan ormas kristiani marah karna adeknya jadi tersangka korupsi marah karna utang ya diungkit ada tambahan,negatif,negatif
@insidefolkative Paling banyak buat gaya nongkrong di cafe Utang ga dibayar belaga paling tersakiti dan paling korban wkakakak,paling banyak untuk gaya nongkrong di cafe utang tidak dibayar belaga paling tersakiti dan paling korban wkakakak,negatif,negatif
@agataafck @SeismicSys @oxdfahmadd Id cardnya bisa buat pinjol gak ini,id cardnya dapat untuk pinjaman online tidak ini,positif,positif
Koperasi ana buka yaa pinjaman cepat 40 menit langsung cair #pinjaman #pinpri #pinjamanpribadi https://t.co/FvbHdW3mQH,koperasi ana buka yaa pinjaman cepat menit langsung cair,positif,positif
Jd aparatur desa itu gaji ngadelin siltap dan ada tambahan tamsil (tanah bengkong kek tanah pinjaman yg bisa dikelola dan hasil kelolanya itu adalah tambahan penghasilan untuk mrk). Jd mereka pas pensiun ga dpt pensiunan gaji aja katanya bisa baru turun beberapa bulan sekali,jadi aparatur desa itu gaji ngadelin siltap dan ada tambahan tamsil tanah bengkong kek tanah pinjaman yang dapat dikelola dan hasil kelolanya itu adalah tambahan penghasilan untuk mrk jadi mereka pas pensiun tidak dpt pensiunan gaji saja katanya dapat baru turun beberapa bulan sekali,positif,positif
Tidak karena ulah mamusia pemfitnah itu pzpua jadi korban.. kereta jadi korban.. karena mulut dan kepentimganya yang lain di deoan kita dan menysuk di belakang. Persis netayahu.. saya harus bunuh.. tidak oeduli orangya tedy atau bangsa yaman manapum di ampel.,tidak karena ulah mamusia pemfitnah itu pzpua jadi korban kereta jadi korban karena mulut dan kepentimganya yang lain di deoan kita dan menysuk di belakang persis netayahu saya harus bunuh tidak oeduli orangya tedy atau bangsa yaman manapum di ampel,negatif,positif
Kenapa ya ngechat aku cuma kalau lagi butuh pinjaman duit aja.. dikiranya aku punya banyak duit kah.. Minimal jbjb lah masa ngechat kalau lagi butuh doang.,kenapa ya ngechat saya cuma kalau lagi butuh pinjaman duit saja dikiranya saya punya banyak duit kah minimal jbjb lah masa ngechat kalau lagi butuh saja,positif,positif
@shazarities @Hidupsebagai62 Kak saya pernah kayagini. Di wa dc foto saya diambil dan dishare ke facebook. Saya aja ga kenal sama yg ngutang. Saya lapor ke ojk ke pihak pinjol tidak ada tanggapan. JAHAT BANGET MEMANG OKNUM DC ITU.,kak saya pernah kayagini di wa debt collector foto saya diambil dan dishare ke facebook saya saja tidak kenal sama yang ngutang saya lapor ke otoritas jasa keuangan ke pihak pinjaman online tidak ada tanggapan jahat sangat memang oknum debt collector itu,negatif,negatif
Says South Andaman District Admin has failed to take any action in the matter despite repeated complaints urges @DcSouthandaman to suspend all activities of AATO Shares copy of complaint made to DC South Andaman in December 2025 with @HawkEyeAndaman #CSANI #LGANI @PMOIndia https://t.co/OBuKwK1NMu,says south andaman district admin has failed to take any action in the matter despite repeated complaints urges to suspend all activities of aato shares copy of complaint made to debt collector south andaman in december with,negatif,positif
@brightlyweb3 @KapudS640 Hapus pinjol gak sih,hapus pinjaman online tidak,positif,positif
